id,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,city,country,Rating_Scale,Scale_Price
44077,193005,Teresa,2010-08-06,within an hour,1.0,0.99,t,Churchtown,2,2,t,t,53.29178,-6.25792,Private room in bungalow,Private room,2,1.5 shared baths,1.0,2.0,70.0,3,1125,3,3,1125,1125,3.0,1125.0,t,2,11,18,104,258,31,7,2011-03-20,2022-09-09,4.78,4.83,4.74,4.93,4.93,4.66,4.82,f,2,0,2,0,1.85,Dublin,Ireland,Satisfied,Less than 100
85156,193005,Teresa,2010-08-06,within an hour,1.0,0.99,t,Churchtown,2,2,t,t,53.29209,-6.25624,Private room in bungalow,Private room,2,1.5 shared baths,1.0,1.0,67.0,3,21,3,3,21,21,3.0,21.0,t,3,9,21,110,210,28,4,2011-05-24,2022-09-11,4.79,4.86,4.74,4.9,4.88,4.64,4.78,f,2,0,2,0,1.53,Dublin,Ireland,Satisfied,Less than 100
159889,766611,Margaret,2011-07-01,within an hour,1.0,0.95,f,Beaumont,3,4,t,t,53.39027,-6.23547,Private room in home,Private room,1,2 shared baths,1.0,1.0,45.0,2,21,1,2,21,21,2.0,21.0,t,1,16,36,290,355,44,6,2012-03-20,2022-09-01,4.74,4.77,4.71,4.86,4.9,4.63,4.74,f,3,0,3,0,2.78,Dublin,Ireland,Satisfied,Less than 100
162809,777681,Robbie,2011-07-04,within an hour,0.92,0.87,t,Blackrock,2,2,t,t,53.28326,-6.19188,Private room in townhouse,Private room,6,1.5 shared baths,2.0,4.0,80.0,1,12,1,1,12,12,1.0,12.0,t,2,2,2,74,326,41,1,2015-06-01,2022-08-31,4.84,4.88,4.85,4.95,4.97,4.77,4.85,f,2,0,2,0,3.68,Dublin,Ireland,Satisfied,Less than 100
165828,790601,Grainne,2011-07-07,within an hour,1.0,0.91,f,Kilmainham,5,5,t,t,53.33744,-6.32363,Entire rental unit,Entire home/apt,5,1 bath,1.0,3.0,251.0,3,365,3,3,365,365,3.0,365.0,t,1,4,21,31,64,17,0,2011-10-25,2022-06-28,4.63,4.89,4.69,4.81,4.75,4.34,4.55,t,5,5,0,0,0.48,Not Specified,Ireland,Satisfied,Between 100 to 499
165829,790601,Grainne,2011-07-07,within an hour,1.0,0.91,f,Kilmainham,5,5,t,t,53.33744,-6.32363,Entire rental unit,Entire home/apt,5,1 bath,1.0,3.0,244.0,3,365,3,3,365,365,3.0,365.0,t,8,12,12,14,76,20,1,2012-01-22,2022-08-15,4.69,4.85,4.75,4.78,4.73,4.39,4.59,t,5,5,0,0,0.59,Not Specified,Ireland,Satisfied,Between 100 to 499
178860,856312,Danielle,2011-07-23,within an hour,1.0,0.96,f,Portobello,2,3,t,t,53.33281,-6.2675,Private room in home,Private room,2,1.5 shared baths,1.0,1.0,80.0,2,4,2,2,4,4,2.0,4.0,t,0,0,0,0,313,0,0,2012-09-05,2021-08-19,4.88,4.94,4.88,4.95,4.96,4.94,4.84,f,2,1,1,0,2.57,Dublin,Ireland,Satisfied,Less than 100
181823,608225,Norah,2011-05-20,within an hour,1.0,0.67,f,Sandymount,2,6,t,t,53.3374,-6.22061,Private room in home,Private room,1,1 shared bath,1.0,1.0,139.0,1,1125,1,1,1125,1125,1.0,1125.0,t,2,2,2,2,50,0,0,2011-08-18,2019-05-16,4.6,4.62,4.47,4.79,4.83,4.47,4.47,f,2,0,2,0,0.37,Dublin,Ireland,Satisfied,Between 100 to 499
237465,1245198,Amanda,2011-10-04,within an hour,1.0,0.92,f,Not Specified,3,5,t,t,53.39558,-6.17524,Entire rental unit,Entire home/apt,2,1.5 baths,1.0,3.0,68.0,1,4,1,1,4,4,1.0,4.0,t,4,22,50,135,392,90,8,2011-12-22,2022-09-08,4.56,4.71,4.56,4.81,4.79,4.39,4.61,f,3,3,0,0,3.0,Dublin,Ireland,Satisfied,Less than 100
245903,1289720,Sheila,2011-10-14,within an hour,1.0,0.57,t,Not Specified,1,2,t,f,53.34636,-6.41734,Private room in home,Private room,1,1.5 shared baths,1.0,1.0,30.0,30,180,30,30,180,180,30.0,180.0,t,4,4,14,47,43,3,0,2012-09-03,2022-07-01,4.93,4.93,4.9,4.98,5.0,4.66,4.85,f,1,0,1,0,0.35,Lucan,Ireland,Satisfied,Less than 100
